MLS#,Original List Price,Rented Price,Price Change,Percentage Change,SF,Price/SF,List Date,Rented Date,Calculated DOM,Year Built,Pool,Waterfront,Pets Allowed,GAR,Last List Price,Available Date,Last Status Change Date,System DOM,City Name,State,Zip Code,Subdivision Name,BE,BA
A11748252,"$4,250 ","$4,150 ",$100 ,2.35%,"1,318",3.15,02/19/2025,03/14/2025,23,2008,Yes,Yes,No,2,"$4,250 ",02/19/2025,03/14/2025,6,Miami,FL,33132,MARINABLUE CONDO,2,2
A11576478,"$4,000 ","$3,800 ",$200 ,5.00%,"1,058",3.59,04/26/2024,03/14/2025,322,2008,Yes,Yes,No,0,"$3,950 ",06/03/2024,03/15/2025,301,Miami,FL,33132,VIZCAYNE SOUTH CONDO,2,2
A11737078,"$4,300 ","$4,300 ",$0 ,0.00%,"1,118",3.85,02/04/2025,03/13/2025,37,2010,Yes,No,Yes,1,"$4,300 ",02/04/2025,03/13/2025,37,Miami,FL,33130,MINT CONDO,2,2
A11516958,"$4,800 ","$4,500 ",$300 ,6.25%,"1,270",3.54,01/18/2024,03/12/2025,419,2015,Yes,No,Yes,1,"$4,800 ",02/07/2024,03/13/2025,63,Miami,FL,33130,1100 MILLECENTO RESIDENCE,2,2
A11713535,"$5,000 ","$4,500 ",$500 ,10.00%,"1,048",4.29,11/01/2024,03/10/2025,129,2017,Yes,No,No,1,"$5,000 ",11/01/2024,03/10/2025,116,Miami,FL,33130,BRICKELL HEIGHTS EAST CON,2,2
A11709170,"$4,100 ","$4,100 ",$0 ,0.00%,"1,289",3.18,12/13/2024,03/10/2025,87,2006,Yes,No,Yes,1,"$4,100 ",01/10/2025,03/18/2025,95,Miami,FL,33131,BRICKELL ON THE RIVER S T,2,2
A11730838,"$3,100 ","$3,200 ",($100),-3.23%,982,3.26,01/24/2025,03/10/2025,45,2007,Yes,No,Yes,0,"$3,100 ",02/28/2025,03/12/2025,47,Miami,FL,33145,KEYSTONE VILLAS II CONDO,2,2
A11747449,"$3,700 ","$3,700 ",$0 ,0.00%,"1,178",3.14,02/24/2025,03/10/2025,14,2005,Yes,Yes,No,1,"$3,700 ",03/01/2025,03/13/2025,10,Miami,FL,33131,ONE MIAMI EAST,2,2
A11736522,"$3,200 ","$3,100 ",$100 ,3.13%,"1,153",2.69,02/01/2025,03/10/2025,37,2007,Yes,No,Yes,0,"$3,200 ",03/01/2025,03/10/2025,37,Miami,FL,33132,THE LOFT DOWNTOWN II COND,2,2
A11726543,"$4,000 ","$3,850 ",$150 ,3.75%,"1,006",3.83,01/16/2025,03/08/2025,51,2008,Yes,Yes,Yes,2,"$4,000 ",01/16/2025,03/19/2025,39,Miami,FL,33131,Met 1,2,2
F10486510,"$4,000 ","$4,000 ",$0 ,0.00%,"1,267",3.16,02/11/2025,03/07/2025,24,2006,Yes,Yes,Yes,1,"$4,000 ",03/07/2025,03/12/2025,16,Miami,FL,33131,BOR South,2,2
A11716676,"$4,200 ","$4,100 ",$100 ,2.38%,"1,181",3.47,01/06/2025,03/05/2025,58,2008,No,No,Yes,1,"$4,200 ",03/03/2025,03/05/2025,26,Miami,FL,33137,FOUR MIDTOWN MIAMI CONDO,2,2
A11701866,"$3,900 ","$3,700 ",$200 ,5.13%,"1,144",3.23,12/01/2024,03/01/2025,90,2007,Yes,No,Yes,1,"$3,699 ",02/01/2025,03/04/2025,70,Miami,FL,33132,1800 CLUB CONDO,2,2
F10450880,"$4,275 ","$3,700 ",$575 ,13.45%,"1,197",3.09,07/13/2024,03/01/2025,231,2008,No,No,No,1,"$3,975 ",09/06/2024,03/01/2025,217,Miami,FL,33131,500 Brickell East Condo,2,2
A11702940,"$4,250 ","$3,850 ",$400 ,9.41%,"1,111",3.47,12/03/2024,03/01/2025,88,2008,Yes,No,No,1,"$3,850 ",12/03/2024,03/11/2025,71,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11721229,"$4,395 ","$4,150 ",$245 ,5.57%,"1,157",3.59,01/09/2025,03/01/2025,51,2006,Yes,Yes,Yes,0,"$4,395 ",01/11/2025,03/03/2025,49,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
F10471371,"$2,800 ","$2,600 ",$200 ,7.14%,"1,085",2.4,11/13/2024,03/01/2025,108,2008,No,No,Yes,1,"$2,700 ",12/15/2024,03/05/2025,111,Miami,FL,33156,Downtown Dadeland,2,2
A11733541,"$3,350 ","$3,250 ",$100 ,2.99%,"1,068",3.04,01/28/2025,03/01/2025,32,2008,Yes,No,Yes,1,"$3,350 ",01/31/2025,03/03/2025,10,Miami,FL,33137,GALLERY ART CONDO,2,2
A11719311,"$4,100 ","$3,825 ",$275 ,6.71%,"1,256",3.05,01/07/2025,03/01/2025,53,2018,Yes,No,Yes,1,"$3,825 ",02/01/2025,03/03/2025,52,Miami,FL,22137,HYDE MIDTOWN,2,2
A11726918,"$2,700 ","$2,600 ",$100 ,3.70%,996,2.61,01/17/2025,03/01/2025,43,2005,Yes,No,No,2,"$2,700 ",01/17/2025,03/01/2025,2,Miami,FL,33134,LEJEUNE PLAZA CONDO,2,2
A11648024,"$4,000 ","$3,900 ",$100 ,2.50%,910,4.29,08/26/2024,03/01/2025,187,2015,Yes,No,Yes,1,"$4,000 ",10/01/2024,03/05/2025,182,Miami,FL,33130,Millecento,2,2
A11687781,"$3,200 ","$2,800 ",$400 ,12.50%,"1,065",2.63,11/04/2024,03/01/2025,117,2007,Yes,No,Yes,1,"$3,000 ",11/04/2024,03/05/2025,107,Miami,FL,33137,MOON BAY OF MIAMI CONDO,2,2
A11734577,"$3,500 ","$3,500 ",$0 ,0.00%,882,3.97,01/30/2025,02/28/2025,29,2018,Yes,No,Yes,2,"$3,500 ",02/12/2025,02/28/2025,29,Miami,FL,33132,CANVAS CONDO,2,2
A11715254,"$4,100 ","$3,800 ",$300 ,7.32%,"1,227",3.1,01/05/2025,02/28/2025,54,2005,Yes,Yes,Yes,1,"$3,800 ",01/05/2025,03/02/2025,42,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
A11724889,"$4,200 ","$3,950 ",$250 ,5.95%,"1,197",3.3,01/15/2025,02/27/2025,43,2008,No,No,Yes,1,"$4,000 ",01/14/2025,03/04/2025,33,Miami,FL,33131,500 BRICKELL EAST CONDO,2,2
A11729680,"$4,100 ","$4,100 ",$0 ,0.00%,"1,004",4.08,01/30/2025,02/27/2025,28,2018,Yes,Yes,Yes,1,"$4,100 ",02/03/2025,03/07/2025,36,Miami,FL,33137,PARAISO BAYVIEWS CONDO,2,2
A11659015,"$3,800 ","$3,800 ",$0 ,0.00%,"1,104",3.44,09/12/2024,02/27/2025,168,2008,Yes,No,No,1,"$3,800 ",12/20/2024,02/27/2025,125,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11696242,"$4,400 ","$4,100 ",$300 ,6.82%,"1,169",3.51,11/19/2024,02/26/2025,99,2005,Yes,Yes,No,1,"$4,200 ",12/16/2024,02/26/2025,93,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
F10466458,"$3,500 ","$3,400 ",$100 ,2.86%,929,3.66,10/15/2024,02/25/2025,133,2008,No,No,No,1,"$3,400 ",12/15/2024,03/07/2025,111,Miami,FL,33132,Vizcayne North Condo,2,2
A11712314,"$4,750 ","$4,500 ",$250 ,5.26%,924,4.87,12/20/2024,02/24/2025,66,2017,Yes,No,Yes,1,"$4,650 ",01/31/2025,02/25/2025,62,Miami,FL,33130,BRICKELL HEIGHTS EAST CON,2,2
A11735853,"$3,800 ","$3,650 ",$150 ,3.95%,"1,227",2.97,01/31/2025,02/24/2025,24,2005,No,Yes,No,1,"$3,800 ",01/31/2025,03/05/2025,10,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
A11732700,"$3,000 ","$3,000 ",$0 ,0.00%,"1,048",2.86,01/27/2025,02/24/2025,28,2008,Yes,No,No,1,"$3,000 ",01/27/2025,02/25/2025,29,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11722219,"$3,200 ","$3,200 ",$0 ,0.00%,"1,134",2.82,01/20/2025,02/21/2025,32,2008,No,No,Yes,1,"$3,200 ",01/10/2025,02/24/2025,18,Miami,FL,33129,BRICKELL ROADS ATRIUMS CO,2,2
A11695751,"$2,900 ","$2,900 ",$0 ,0.00%,957,3.03,11/18/2024,02/21/2025,95,2008,No,No,Yes,1,"$2,900 ",11/18/2024,02/24/2025,79,Miami,FL,33129,BRICKELL ROADS ATRIUMS CO,2,2
A11728822,"$4,500 ","$4,400 ",$100 ,2.22%,"1,110",3.96,01/23/2025,02/21/2025,29,2010,Yes,Yes,Yes,1,"$4,500 ",02/01/2025,02/21/2025,8,Miami,FL,33130,MINT CONDO,2,2
A11674897,"$3,500 ","$3,200 ",$300 ,8.57%,"1,048",3.05,10/11/2024,02/19/2025,131,2008,Yes,No,Yes,1,"$3,250 ",11/01/2024,02/20/2025,125,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11710795,"$4,500 ","$4,400 ",$100 ,2.22%,"1,165",3.78,12/17/2024,02/17/2025,62,2015,Yes,No,Yes,1,"$4,450 ",02/03/2025,02/18/2025,50,Miami,FL,33130,1100 MILLECENTO RESIDENCE,2,2
A11719312,"$2,900 ","$2,900 ",$0 ,0.00%,963,3.01,01/07/2025,02/17/2025,41,2005,Yes,No,Yes,1,"$2,900 ",01/07/2025,02/19/2025,21,Miami,FL,33137,THE YORKER CONDO,2,2
A11731489,"$4,500 ","$4,300 ",$200 ,4.44%,"1,154",3.73,01/24/2025,02/15/2025,22,2007,Yes,Yes,No,1,"$4,500 ",01/24/2025,02/19/2025,9,Miami,FL,33132,1800 Club Condo,2,2
A11726661,"$4,000 ","$4,000 ",$0 ,0.00%,"1,374",2.91,01/16/2025,02/15/2025,30,2007,Yes,Yes,Yes,1,"$4,000 ",02/01/2025,02/15/2025,15,Miami,FL,33132,1800 CLUB CONDO,2,2
A11665395,"$4,000 ","$3,500 ",$500 ,12.50%,977,3.58,09/25/2024,02/15/2025,143,2016,Yes,No,Yes,0,"$3,500 ",09/25/2024,03/05/2025,134,Miami,FL,33131,CENTRO CONDO,2,2
A11644079,"$3,150 ","$2,750 ",$400 ,12.70%,"1,231",2.23,08/19/2024,02/15/2025,180,2007,Yes,No,No,1,"$2,800 ",01/01/2025,03/10/2025,143,Miami,FL,33156,DOWNTOWN DADELAND CONDO N,2,2
A11724684,"$2,800 ","$2,700 ",$100 ,3.57%,950,2.84,01/21/2025,02/15/2025,25,2007,Yes,No,Yes,1,"$2,800 ",01/20/2025,02/24/2025,34,Miami,FL,33128,HAVANA LOFTS CONDO,2,2
A11701679,"$4,100 ","$3,980 ",$120 ,2.93%,986,4.04,12/01/2024,02/15/2025,76,2008,Yes,Yes,No,1,"$4,100 ",12/01/2024,02/16/2025,57,Miami,FL,33131,THE PLAZA 851 BRICKELL CO,2,2
A11702709,"$4,200 ","$3,800 ",$400 ,9.52%,"1,113",3.41,12/03/2024,02/15/2025,74,2008,Yes,No,Yes,1,"$4,200 ",11/26/2024,02/18/2025,77,Miami,FL,33131,THE PLAZA 901 BRICKELL CO,2,2
A11729197,"$4,500 ","$4,250 ",$250 ,5.56%,"1,494",2.84,01/21/2025,02/14/2025,24,2015,Yes,No,Yes,0,"$4,500 ",01/21/2025,02/14/2025,14,Miami,FL,33130,NINE AT MARY BRICKELL,2,2
A11651525,"$4,250 ","$3,850 ",$400 ,9.41%,"1,200",3.21,09/01/2024,02/13/2025,165,2008,Yes,No,Yes,2,"$3,950 ",09/01/2024,02/13/2025,137,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11699582,"$3,200 ","$3,000 ",$200 ,6.25%,"1,153",2.6,11/25/2024,02/11/2025,78,2007,Yes,No,No,1,"$3,200 ",11/25/2024,03/13/2025,67,Miami,FL,33132,THE LOFT II,2,2
