Rented Price;Rented Date;County;Property Type;Furnished;Bedrooms;Full Baths;Half baths;Garage;Square feet;Waterfront Property (Y/N);Pool YN;Year Built;List Date;Address;Map Coordinates;List Price;Original List Price;ADOM;ML#;Style,,,
$1.875 ;26.03.2024;Miami-Dade;Condo;Furnished;0;1;0;0;348;No;No;2022;15.10.2023;1610 Euclid Ave Unit#B102, Miami Beach, FL 33139;;$1.875 ;$2.200 ;148;A11469788;R62-Condo/Co-Op-Annual,
$2.900 ;8.05.2024;Miami-Dade;Condo;Furnished;0;1;0;0;386;Yes;Yes;2022;4.03.2024;227 NE 2nd St Unit#2707, Miami, FL 33132;;$2.900 ;$2.900 ;59;A11547771;R62-Condo/Co-Op-Annual,
$2.900 ;8.05.2024;Miami-Dade;Condo;Furnished;0;1;0;0;393;Yes;Yes;2022;4.03.2024;227 NE 2nd St Unit#2708, Miami, FL 33132;;$2.900 ;$2.900 ;59;A11547777;R62-Condo/Co-Op-Annual,
$2.900 ;8.05.2024;Miami-Dade;Condo;Furnished;0;1;0;0;393;Yes;Yes;2022;4.03.2024;227 NE 2nd St Unit#2608, Miami, FL 33132;;$2.900 ;$2.900 ;59;A11547761;R62-Condo/Co-Op-Annual,
$2.550 ;10.12.2024;Miami-Dade;Condo;Furnished;0;1;0;0;411;No;No;2024;29.07.2024;601 NE 1 Ave Unit#3406, Miami, FL 33132;;$2.600 ;$3.400 ;122;A11631480;R62-Condo/Co-Op-Annual,
$2.300 ;20.07.2023;Miami-Dade;Condo;Furnished;0;1;0;0;412;No;Yes;2022;12.06.2023;227 NE 2nd St Unit#2512, Miami, FL 33132;;$2.300 ;$2.900 ;36;A11402130;R62-Condo/Co-Op-Annual,
$2.350 ;15.10.2024;Miami-Dade;Condo;Furnished;0;1;0;0;412;No;Yes;2022;19.06.2024;227 NE 2nd St Unit#2512, Miami, FL 33132;;$2.450 ;$2.700 ;103;A11609909;R62-Condo/Co-Op-Annual,
$2.600 ;5.09.2023;Miami-Dade;Condo;Furnished;0;1;0;0;412;No;Yes;2022;8.08.2023;227 NE 2nd St Unit#2312, Miami, FL 33132;;$2.950 ;$2.900 ;13;A11432704;R62-Condo/Co-Op-Annual,
$3.250 ;1.09.2022;Miami-Dade;Condo;Furnished;0;1;0;1;417;No;Yes;2022;7.07.2022;227 NE 2nd St Unit#1507, Miami, FL 33132;;$3.500 ;$3.500 ;61;A11237540;R62-Condo/Co-Op-Annual,
$3.500 ;19.10.2022;Miami-Dade;Condo;Furnished;0;1;0;1;417;No;Yes;2022;14.09.2022;227 NE 2nd Street Unit#1707, Miami, FL 33132;;$3.500 ;$3.500 ;42;A11272750;R62-Condo/Co-Op-Annual,
$2.500 ;1.12.2023;Miami-Dade;Condo;Furnished;0;1;0;0;420;No;Yes;2022;12.07.2023;227 NE 2nd St Unit#2307, Miami, FL 33132;;$2.800 ;$3.000 ;114;A11418503;R62-Condo/Co-Op-Annual,
$2.800 ;21.09.2023;Miami-Dade;Condo;Furnished;0;1;0;0;430;No;Yes;2022;3.08.2023;227 NE 2nd St Unit#2807, Miami, FL 33132;;$2.800 ;$2.800 ;49;A11430352;R62-Condo/Co-Op-Annual,
$2.800 ;21.05.2024;Miami-Dade;Condo;Furnished;0;1;0;0;446;No;Yes;2022;19.04.2024;227 NE 2nd St Unit#1910, Miami, FL 33132;;$2.800 ;$2.800 ;33;A11572892;R62-Condo/Co-Op-Annual,
